Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Charles Beasley,,8,4.1,2.6,0.7
Richard Hamilton,92.6,7.3,4,2.4,0.7
Ralph Simpson,89.7,7.2,4.2,2.3,1.1
Buddy Jeannette,89.2,8.2,4.9,2.6,NA
Leandro Barbosa,86.5,8.2,3.8,1.9,1.8
Kenny Smith,85.5,9,4.1,2.6,2.2
Larry Drew,84.2,7.2,4.6,3,0
John Wall,84.1,7.9,4.5,3.5,2.2
Vinnie Johnson,83.8,7.7,5.9,2.7,0.2
Malcolm Brogdon,83.7,6.5,4.1,2.7,NA
Sleepy Floyd,83.6,7.5,4.4,3.1,2.2
