Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,DLC,ABA,SG,8,NA,345,5.7,12,0.478,0,0.2,0,5.7,11.8,0.487,3.8,4.5,0.837,NA,NA,2.1,2.9,2.5,2.8,15.2
1968-69,23,DLC,ABA,SG,7,NA,198,4,9.6,0.415,0.2,0.9,0.2,3.8,8.7,0.438,3.1,4.2,0.739,NA,NA,2.4,4.4,3.1,2.4,11.3
1969-70,24,DLC,ABA,SG,5,NA,110,5.9,11.8,0.5,0.3,1.3,0.25,5.6,10.5,0.531,2.6,2.9,0.889,NA,NA,3.3,7.5,1.6,5.9,14.7
1970-71,25,TEX,ABA,SG,3,NA,45,3.2,11.2,0.286,0.8,5.6,0.143,2.4,5.6,0.429,1.6,2.4,0.667,0.8,4.8,5.6,4,0.8,6.4,8.8
Career,NA,,ABA,,23,NA,698,5.1,11.2,0.454,0.2,0.9,0.167,5,10.3,0.48,3.2,4,0.808,0.8,4.8,2.6,4.1,2.4,3.4,13.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"DLC,TEX",ABA,,23,NA,698,5.1,11.2,0.454,0.2,0.9,0.167,5,10.3,0.48,3.2,4,0.808,0.8,4.8,2.6,4.1,2.4,3.4,13.6
