Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,DLC,ABA,SG,78,NA,2969,374,758,0.493,3,13,0.231,371,745,0.498,0.495,285,327,0.872,NA,NA,295,290,189,202,1036
1968-69,23,DLC,ABA,SG,75,NA,1719,220,506,0.435,1,15,0.067,219,491,0.446,0.436,161,192,0.839,22,136,158,208,129,158,602
1969-70,24,DLC,ABA,SG,80,NA,2150,292,667,0.438,19,72,0.264,273,595,0.459,0.452,231,262,0.882,32,173,205,280,179,222,834
1970-71,25,TOT,ABA,SG,48,NA,509,57,136,0.419,7,26,0.269,50,110,0.455,0.445,40,49,0.816,13,33,46,82,45,69,161
1970-71,25,TEX,ABA,SG,43,NA,486,52,125,0.416,7,24,0.292,45,101,0.446,0.444,39,47,0.83,13,32,45,80,44,67,150
1970-71,25,FLO,ABA,SG,5,NA,23,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,0,1,1,2,1,2,11
Career,NA,,ABA,,281,NA,7347,943,2067,0.456,30,126,0.238,913,1941,0.47,0.463,717,830,0.864,67,342,704,860,542,651,2633
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"DLC,TEX",ABA,,276,NA,7324,938,2056,0.456,30,124,0.242,908,1932,0.47,0.464,716,828,0.865,67,341,703,858,541,649,2622
1 season,NA,FLO,ABA,,5,NA,23,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,0,1,1,2,1,2,11
