Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Charles Beasley,,8,4.1,2.6,0.7,NA,NA,NA,NA,NA
Buddy Jeannette,89.2,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA
Malcolm Brogdon,83.7,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA
Stephen Chubin,80.9,6.9,4,1.7,NA,NA,NA,NA,NA,NA
Rudy Fernández,78.8,6.1,3.8,3,1.2,NA,NA,NA,NA,NA
Bob Verga,74.9,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA
Spencer Dinwiddie,72.4,5.7,4.8,2.8,0.1,0.1,NA,NA,NA,NA
George Lehmann,72.4,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA
Derek Smith,72.4,8,2.9,2.6,1.6,1.5,0.9,0.8,0,0
Wilbur Holland,70.2,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA
Tyler Johnson,70.2,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
