Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,DLC,ABA,SG,78,NA,2969,4.5,9.2,0.493,0,0.2,0.231,4.5,9,0.498,3.5,4,0.872,NA,NA,3.6,3.5,2.3,2.4,12.6
1968-69,23,DLC,ABA,SG,75,NA,1719,4.6,10.6,0.435,0,0.3,0.067,4.6,10.3,0.446,3.4,4,0.839,0.5,2.8,3.3,4.4,2.7,3.3,12.6
1969-70,24,DLC,ABA,SG,80,NA,2150,4.9,11.2,0.438,0.3,1.2,0.264,4.6,10,0.459,3.9,4.4,0.882,0.5,2.9,3.4,4.7,3,3.7,14
1970-71,25,TOT,ABA,SG,48,NA,509,4,9.6,0.419,0.5,1.8,0.269,3.5,7.8,0.455,2.8,3.5,0.816,0.9,2.3,3.3,5.8,3.2,4.9,11.4
1970-71,25,TEX,ABA,SG,43,NA,486,3.9,9.3,0.416,0.5,1.8,0.292,3.3,7.5,0.446,2.9,3.5,0.83,1,2.4,3.3,5.9,3.3,5,11.1
1970-71,25,FLO,ABA,SG,5,NA,23,7.8,17.2,0.455,0,3.1,0,7.8,14.1,0.556,1.6,3.1,0.5,0,1.6,1.6,3.1,1.6,3.1,17.2
Career,NA,,ABA,,281,NA,7347,4.6,10.1,0.456,0.1,0.6,0.238,4.5,9.5,0.47,3.5,4.1,0.864,0.6,2.8,3.4,4.2,2.7,3.2,12.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"DLC,TEX",ABA,,276,NA,7324,4.6,10.1,0.456,0.1,0.6,0.242,4.5,9.5,0.47,3.5,4.1,0.865,0.6,2.8,3.5,4.2,2.7,3.2,12.9
1 season,NA,FLO,ABA,,5,NA,23,7.8,17.2,0.455,0,3.1,0,7.8,14.1,0.556,1.6,3.1,0.5,0,1.6,1.6,3.1,1.6,3.1,17.2
