,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,DLC,ABA,,11,,2,,,,12,13,,,,,,,30
1968-69,23,DLC,ABA,,9,,1,,,,17,18,,,,,,,35
1969-70,24,DLC,ABA,,13,,2,,,,11,13,,,,,,,37
1970-71,25,TOT,ABA,,7,,2,,,,5,6,,,,,,,15
1970-71,25,TEX,ABA,,7,,2,,,,5,6,,,,,,,15
1970-71,25,FLO,ABA,,3,,0,,,,1,2,,,,,,,6
Career,,,,,13,,2,,,,17,18,,,,,,,37
4 Seasons,,"DLC,TEX",ABA,,13,,2,,,,17,18,,,,,,,37
1 Season,,FLO,ABA,,3,,0,,,,1,2,,,,,,,6
