Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,DLC,ABA,SG,78,2969,13.6,0.574,0.017,0.431,NA,NA,4.7,13.3,17.3,14.1,NA,6.9,1.1,8,0.13
1968-69,23,DLC,ABA,SG,75,1719,10.8,0.51,0.03,0.379,NA,NA,4.2,16.9,17.9,15.9,NA,1.6,1,2.6,0.073
1969-70,24,DLC,ABA,SG,80,2150,11.3,0.533,0.108,0.393,NA,NA,4.2,16.4,18.6,16.1,NA,2.8,1.3,4.1,0.091
1970-71,25,TOT,ABA,SG,48,509,8.1,0.511,0.191,0.36,NA,NA,3.9,18.7,22.2,14.1,NA,0.3,0.4,0.7,0.068
1970-71,25,TEX,ABA,SG,43,486,8,0.515,0.192,0.376,NA,NA,3.9,19,23.2,13.7,NA,0.3,0.4,0.7,0.071
1970-71,25,FLO,ABA,SG,5,23,10.6,0.463,0.182,0.182,NA,NA,2,12.7,7.8,20.9,NA,0,0,0,0.008
Career,NA,,ABA,,281,7347,11.9,0.541,0.061,0.402,NA,NA,4.4,15.4,18.2,15.1,NA,11.7,3.7,15.4,0.101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"DLC,TEX",ABA,,276,7324,11.9,0.542,0.06,0.403,NA,NA,4.4,15.4,18.3,15.1,NA,11.7,3.7,15.4,0.101
1 season,NA,FLO,ABA,,5,23,10.6,0.463,0.182,0.182,NA,NA,2,12.7,7.8,20.9,NA,0,0,0,0.008
