Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike O'Koren,,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1
John Brown,87.8,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA
David Benoit,87.0,4.6,3.9,2.3,2,1.6,1.6,0.7,NA
Luke Walton,85.9,3.8,3.2,2,2,1.6,0.5,0.3,-0.2
Danny Vranes,85.8,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Steve Novak,85.6,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3
Kyle O'Quinn,84.4,4.8,3.9,2.5,1.6,1.6,1.4,1,NA
Lawrence Funderburke,84.3,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Brian Skinner,84.2,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
Barry Clemens,83.4,3.5,3.5,2.8,1.8,1.7,0.9,0.1,0.1
Andrea Bargnani,83.2,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.1
