,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1964-65,22,TOT,NBA,,5,,,,,,6,7,,,,,,,14
1964-65,22,SFW,NBA,,4,7,,,,,4,7,,,6,3,,3,10
1964-65,22,NYK,NBA,,5,,,,,,6,6,,,,,,,14
1969-70,27,NYA,ABA,,3,,0,,,,5,6,,,,,,,9
Career,,,TOT,,5,,,,,,6,7,,,,,,,14
,,,NBA,,5,,,,,,6,7,,,,,,,14
,,,ABA,,3,,0,,,,5,6,,,,,,,9
,,,,,,,,,,,,,,,,,,,
1 Season,,SFW,NBA,,4,7,,,,,4,7,,,6,3,,3,10
1 Season,,NYK,NBA,,5,,,,,,6,6,,,,,,,14
1 Season,,NYA,ABA,,3,,0,,,,5,6,,,,,,,9
