Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1964-65,22,TOT,NBA,SF,52,507,10,0.417,NA,0.452,NA,NA,NA,11,NA,NA,NA,-0.3,0.5,0.2,0.017
1964-65,22,SFW,NBA,SF,33,276,11.1,0.427,NA,0.44,NA,NA,NA,12.9,NA,NA,NA,-0.1,0.3,0.3,0.044
1964-65,22,NYK,NBA,SF,19,231,8.7,0.405,NA,0.465,NA,NA,NA,8.8,NA,NA,NA,-0.2,0.1,-0.1,-0.017
1969-70,27,NYA,ABA,SF,7,56,2.9,0.391,0.032,0.258,NA,NA,11.1,7.7,24.2,30.6,NA,-0.1,0.1,-0.1,-0.077
Career,NA,,TOT,,59,563,9.3,0.414,0.005,0.424,NA,NA,11.1,10.7,24.2,30.6,NA,-0.4,0.5,0.1,0.007
,NA,,NBA,,52,507,10,0.417,NA,0.452,NA,NA,NA,11,NA,NA,NA,-0.3,0.5,0.2,0.017
,NA,,ABA,,7,56,2.9,0.391,0.032,0.258,NA,NA,11.1,7.7,24.2,30.6,NA,-0.1,0.1,-0.1,-0.077
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SFW,NBA,,33,276,11.1,0.427,NA,0.44,NA,NA,NA,12.9,NA,NA,NA,-0.1,0.3,0.3,0.044
1 season,NA,NYK,NBA,,19,231,8.7,0.405,NA,0.465,NA,NA,NA,8.8,NA,NA,NA,-0.2,0.1,-0.1,-0.017
1 season,NA,NYA,ABA,,7,56,2.9,0.391,0.032,0.258,NA,NA,11.1,7.7,24.2,30.6,NA,-0.1,0.1,-0.1,-0.077
