Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Butch Carter,,3,2.6,1.3,0.9,0.9,-0.2,NA
Shammond Williams,87.9,3.1,2.9,1.2,1,0.5,0.2,0
Quincy Pondexter,82.5,3.2,2.9,1.7,0.9,0.8,0.4,-0.2
Greg Minor,82.2,3,2.1,1.7,0.8,0.6,NA,NA
Khalid Reeves,82.0,3.5,2.5,1.2,1.1,0.1,0,NA
Al Ferrari,80.9,3.3,1.9,1.4,1.4,0.9,0,NA
Jerian Grant,79.6,3.3,2.5,1.7,0.8,NA,NA,NA
Larry Wright,79.5,3.5,2.7,1.8,1.4,1.2,0,NA
Bob Wilkerson,78.9,3.2,2.9,0.9,0.7,0.7,0.2,-0.3
Langston Galloway,78.8,3.4,3.3,1.4,1.3,1.3,NA,NA
Roger Phegley,78.0,3.7,2.6,1.6,0.8,0,-0.1,NA
