Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Butch Carter,,3,2.6,1.3,0.9,0.9,-0.2
Howard Eisley,89.2,3,2.9,1.3,1.2,1,-0.5
Shammond Williams,87.0,3.1,2.9,1.2,1,0.2,0
Wes Matthews,85.8,3,2.6,1.6,1.3,0.7,0.4
Quincy Pondexter,84.0,3.2,2.9,1.7,0.9,0.4,-0.2
Chris Whitney,83.9,3.2,2.7,1.3,1,-0.2,-0.3
Bob Wilkerson,82.3,3.2,2.9,0.9,0.7,0.7,0.2
Greg Minor,82.2,3,2.1,1.7,0.8,0.6,NA
Khalid Reeves,82.0,3.5,2.5,1.2,1.1,0.1,0
Rick Adelman,81.5,3.4,2.2,1.6,0.7,0.7,0.1
Al Ferrari,80.9,3.3,1.9,1.4,1.4,0.9,0
