Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,SDR,NBA,C,1,1,21:00,4,9,0.444,NA,NA,NA,3,3,1,NA,5,0,NA,NA,NA,4,11
1969-70,24,SDR,NBA,C,1,1,35:00,9,21,0.429,NA,NA,NA,6,12,0.5,NA,15,1,NA,NA,NA,1,24
1970-71,25,SDR,NBA,C,1,0,19:00,4,13,0.308,NA,NA,NA,2,3,0.667,NA,4,2,NA,NA,NA,1,10
1971-72,26,HOU,NBA,C,1,0,11:00,1,6,0.167,NA,NA,NA,2,2,1,NA,2,0,NA,NA,NA,2,4
1972-73,27,BAL,NBA,PF,1,0,16:00,4,13,0.308,NA,NA,NA,2,2,1,NA,12,0,NA,NA,NA,0,10
1973-74,28,CAP,NBA,PF,1,0,35:00,5,13,0.385,NA,NA,NA,2,3,0.667,4,15,6,0,1,NA,4,12
1974-75,29,WSB,NBA,PF,1,1,17:00,2,6,0.333,NA,NA,NA,0,0,NA,0,5,2,1,0,NA,1,4
1975-76,30,WSB,NBA,PF,1,1,31:00,6,14,0.429,NA,NA,NA,0,2,0,3,10,1,1,0,NA,5,12
1976-77,31,WSB,NBA,PF,1,0,11:00,6,6,1,NA,NA,NA,0,0,NA,0,2,1,0,0,NA,5,12
1977-78,32,WSB,NBA,PF,1,0,11:00,1,7,0.143,NA,NA,NA,0,0,NA,3,4,0,1,0,1,4,2
1978-79,33,WSB,NBA,PF,1,0,28:00,5,11,0.455,NA,NA,NA,3,5,0.6,4,13,0,1,1,1,5,13
1979-80,34,WSB,NBA,PF,1,0,29:00,5,10,0.5,0,0,NA,2,2,1,2,5,4,1,4,3,5,12
Career,NA,,NBA,,12,4,264,52,129,0.403,0,0,NA,22,34,0.647,16,92,17,5,6,5,37,126
