Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
George Lynch,,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0
Danny Ferry,86.6,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1,1
Kenny Carr,86.2,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA
Kris Humphries,86.1,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.5,0.7,0.2,-0.3
Phil Jackson,85.9,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5
Bingo Smith,85.0,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA
Billy Owens,84.8,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,NA,NA
Gerald Govan,84.7,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA,NA,NA
Chuck Hayes,84.6,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0,NA
Dave Gambee,84.3,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA
Patrick Patterson,84.3,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA,NA
