Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Al Wood,,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA,NA,NA
Fred Jones,88.8,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA,NA
T.J. Ford,88.7,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA,NA
Whitey Skoog,87.7,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Daniel Gibson,83.6,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA,NA
Andre Roberson,82.3,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Billy Kenville,82.0,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA,NA,NA
Slick Watts,81.9,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA,NA,NA
Dean Meminger,81.8,5,4.4,3.9,2.2,1,0.2,NA,NA,NA,NA,NA,NA
Doug West,81.8,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
Eric Money,81.6,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA,NA,NA,NA
