Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Emeka Okafor,,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA,NA,NA,NA
DeMarcus Cousins,91.7,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA,NA,NA,NA
Darryl Dawkins,88.6,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1,0,-0.2
Red Rocha,88.6,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA,NA,NA,NA,NA
Sam Lacey,88.0,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3,-0.1,NA
Enes Kanter,87.1,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA,NA,NA,NA
Ray Felix,85.9,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA,NA,NA,NA
Greg Monroe,85.0,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA,NA,NA,NA,NA
Jonas Valančiūnas,84.5,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA,NA,NA,NA,NA
Jim Fox,84.4,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA,NA,NA,NA
Chuck Share,84.3,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA,NA,NA,NA
