,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,31,MIL,NBA,PG,18,682,85%,15%,,,,+0.1,-7.7,19,21,23,4,32,0,271,5,19
2002-03,33,MIL,NBA,PG,6,217,100%,,,,,-5.3,-1.5,9,5,6,2,3,0,37,0,0
2003-04,34,MIN,NBA,PG,16,497,100%,,,,,+2.2,+5.8,19,18,17,6,19,0,156,4,5
2005-06,36,LAC,NBA,PG,12,404,100%,,,,,-1.0,-14.4,9,9,12,8,23,3,148,4,5
2007-08,38,BOS,NBA,PG,21,264,98%,2%,,,,+8.9,+3.4,4,5,11,1,7,2,62,1,7
Career,,,NBA,,73,2064,95%,5%,,,,+1.0,-3.7,60,58,69,21,84,5,674,14,36
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIL,NBA,,24,899,88%,12%,,,,-1.2,-6.2,28,26,29,6,35,0,308,5,19
1 season,,BOS,NBA,,21,264,98%,2%,,,,+8.9,+3.4,4,5,11,1,7,2,62,1,7
1 season,,MIN,NBA,,16,497,100%,,,,,+2.2,+5.8,19,18,17,6,19,0,156,4,5
1 season,,LAC,NBA,,12,404,100%,,,,,-1.0,-14.4,9,9,12,8,23,3,148,4,5
