Season,Team,Lg,Salary
1993-94,Houston Rockets,NBA,"$650,000"
1994-95,Houston Rockets,NBA,"$845,000"
1995-96,Houston Rockets,NBA,"$1,040,000"
1996-97,Dallas Mavericks,NBA,"$1,235,000"
1997-98,New Jersey Nets,NBA,"$2,500,000"
1998-99,Milwaukee Bucks,NBA,"$3,000,000"
1999-00,Milwaukee Bucks,NBA,"$3,500,000"
2000-01,Milwaukee Bucks,NBA,"$4,000,000"
2001-02,Milwaukee Bucks,NBA,"$4,350,000"
2002-03,Milwaukee Bucks,NBA,"$4,850,000"
2003-04,Minnesota Timberwolves,NBA,"$5,062,500"
2004-05,Minnesota Timberwolves,NBA,"$6,250,000"
2005-06,Los Angeles Clippers,NBA,"$6,875,000"
2006-07,Los Angeles Clippers,NBA,"$6,850,000"
2007-08,Los Angeles Clippers,NBA,"$6,150,000"
2008-09,Sacramento Kings,NBA,"$1,262,275"
Career,(may be incomplete),,"$58,419,775"
