Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Scooter McCray,,0.3,0.1,0,NA
Jordan Mickey,72.4,0.3,0.1,0.1,NA
Pops Mensah-Bonsu,71.4,0.3,0,0,0
Bob Bigelow,64.4,0.4,0,0,0
Easy Parham,63.7,0.3,0.1,0,NA
Ken Durrett,60.9,0.5,0.1,0,0
Chris McCullough,60.7,0.3,0.2,0.1,NA
Anthony Frederick,59.3,0.5,0.2,0,NA
Josh Huestis,57.4,0.5,0.2,0,NA
Jarnell Stokes,53.3,0.5,0.1,0.1,NA
Alando Tucker,52.1,0.2,0.1,0,NA
