Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ruben Boumtje-Boumtje,,0.2,0,0,NA
Joe Cooper,38.8,0.2,0.1,0,NA
Robert Werdann,38.4,0.2,0,-0.1,NA
Gary Leonard,34.4,0.1,0,0,NA
Arinze Onuaku,22.2,0.3,0,0,NA
Dan O'Sullivan,19.9,0.1,0.1,0,0
Mouhamed Sene,17.9,0.2,0.2,0,NA
Tom Riker,11.6,0.2,0.2,0,NA
Patrick O'Bryant,-8.4,0.3,0.2,0,0
Hamady N'Diaye,-10.5,0.1,0,0,NA
Rich King,-11.7,0.2,0.1,0,-0.1
