Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Leon Douglas,,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA
Jim Barnes,89.0,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA
Nat Clifton,84.5,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA
Luc Longley,83.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA
Aron Baynes,82.3,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA
Joel Anthony,82.1,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA
Ira Harge,81.3,4,3.5,3.4,2.7,2.6,0,NA,NA,NA,NA,NA
Rick Roberson,81.1,3.6,3.5,3.2,3,1,0.4,0,NA,NA,NA,NA
Vitaly Potapenko,80.6,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1
Meyers Leonard,79.2,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA
Kurt Nimphius,78.9,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
