Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Leon Douglas,,3.6,3.2,3.1,2.1,2.1,1,0
Luc Longley,89.6,3.5,3.4,3.1,2.2,1.8,0.2,0.2
Jim Barnes,89.0,3.4,2.9,2.4,2.1,2.1,1.1,0.3
Ian Mahinmi,87.0,3.4,3.3,2.3,2.1,1.8,0.7,0.2
Nat Clifton,86.4,3.7,3.3,2.4,2.1,1.8,1.6,-0.4
Vitaly Potapenko,85.8,3.4,3.1,2.5,2.2,1.5,0.5,0.2
Joel Anthony,85.7,3.4,3.3,3.1,1.7,1.2,0.6,0.2
Jim Davis,84.6,4.3,3.8,3.5,2.3,1.8,0.9,0.2
Aron Baynes,82.3,4.1,3.9,3,3,2.4,0.6,0.1
Jon Koncak,82.2,3.7,3.7,3.7,2.5,2.3,1.4,1.1
Duane Causwell,82.1,3.9,2.9,2.8,1.8,1.3,1.2,0.7
