,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1976-77,22,DET,NBA,,12,,,,,,7,8,,,,,,,,,30,
1977-78,23,DET,NBA,,13,,,,,,11,14,,,,,,,,,28,
1978-79,24,DET,NBA,,11,,,,,,8,13,,,,,,,,,24,
1979-80,25,DET,NBA,,11,,0,,,,9,11,,,,,,,,,26,
1980-81,26,KCK,NBA,,7,,0,,,,5,9,,,,,,,,,17,
1981-82,27,KCK,NBA,,6,,0,,,,6,8,,,,,,,,,15,
1982-83,28,KCK,NBA,,2,3,0,0,2,3,0,2,,,3,0,0,2,1,5,4,
Career,,,,,13,,,,,,11,14,,,,,,,,,30,
4 Seasons,,DET,NBA,,13,,,,,,11,14,,,,,,,,,30,
3 Seasons,,KCK,NBA,,7,,0,,,,6,9,,,,,,,,,17,
