Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Hank Beenders,,1.1,0.9,-0.1
Rich Johnson,93.3,1.2,0.9,0.1
Mark West,93.2,1.1,0.9,-0.1
Dick Cunningham,91.3,1.2,1,0
Earl Williams,85.6,1.3,1,0
Robert Sacre,82.4,1.4,0.8,-0.1
Ryan Hollins,82.1,1.1,1,0.2
Steve Hayes,80.9,1.2,0.9,0.3
Daniel Santiago,78.7,1.2,0.6,0
Jerome James,77.4,0.9,0.8,-0.1
Josh Harrellson,74.5,1.4,0.7,0
