Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,30,PRO,BAA,NA,58,NA,NA,NA,NA,0.262,NA,NA,0.704,NA,NA,NA,NA
1947-48,31,TOT,BAA,NA,45,NA,NA,NA,NA,0.283,NA,NA,0.622,NA,NA,NA,NA
1947-48,31,PRO,BAA,NA,21,NA,NA,NA,NA,0.265,NA,NA,0.638,NA,NA,NA,NA
1947-48,31,PHW,BAA,NA,24,NA,NA,NA,NA,0.333,NA,NA,0.583,NA,NA,NA,NA
1948-49,32,BOS,BAA,NA,8,NA,NA,NA,NA,0.214,NA,NA,0.778,NA,NA,NA,NA
Career,NA,,BAA,NA,111,NA,NA,NA,NA,0.265,NA,NA,0.687,NA,NA,NA,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PRO,BAA,NA,79,NA,NA,NA,NA,0.262,NA,NA,0.692,NA,NA,NA,NA
1 season,NA,PHW,BAA,NA,24,NA,NA,NA,NA,0.333,NA,NA,0.583,NA,NA,NA,NA
1 season,NA,BOS,BAA,NA,8,NA,NA,NA,NA,0.214,NA,NA,0.778,NA,NA,NA,NA
