Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Hank Beenders,,1.1,0.9,-0.1,NA,NA,NA
Rich Johnson,93.3,1.2,0.9,0.1,NA,NA,NA
Daniel Santiago,77.6,1.2,0.6,0,0,NA,NA
Robert Swift,77.1,1.1,0.7,0,-0.2,NA,NA
Gene Tormohlen,76.9,1.4,0.8,0.1,0,0,0
Josh Harrellson,74.5,1.4,0.7,0,NA,NA,NA
Žan Tabak,74.0,1.1,0.9,0.2,0.1,0.1,0
Bernard James,70.8,1.2,0.5,0.1,NA,NA,NA
Keith Closs,69.3,1.1,0.6,0.2,NA,NA,NA
Robert Sacre,68.2,1.4,0.8,0.3,-0.1,NA,NA
Earl Williams,67.8,1.3,1,0.4,0,NA,NA
