Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,30,PRO,BAA,NA,58,NA,NA,4.6,17.5,0.262,3.1,4.4,0.704,NA,0.6,3.4,12.3
1947-48,31,TOT,BAA,NA,45,NA,NA,1.7,6,0.283,1.1,1.8,0.622,NA,0.3,2.2,4.5
1947-48,31,PRO,BAA,NA,21,NA,NA,2.5,9.5,0.265,1.8,2.8,0.638,NA,0.3,3.2,6.8
1947-48,31,PHW,BAA,NA,24,NA,NA,1,2.9,0.333,0.6,1,0.583,NA,0.3,1.3,2.5
1948-49,32,BOS,BAA,NA,8,NA,NA,0.8,3.5,0.214,0.9,1.1,0.778,NA,0.4,1.1,2.4
Career,NA,,BAA,NA,111,NA,NA,3.1,11.8,0.265,2.2,3.1,0.687,NA,0.5,2.7,8.4
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PRO,BAA,NA,79,NA,NA,4,15.4,0.262,2.8,4,0.692,NA,0.5,3.3,10.8
1 season,NA,PHW,BAA,NA,24,NA,NA,1,2.9,0.333,0.6,1,0.583,NA,0.3,1.3,2.5
1 season,NA,BOS,BAA,NA,8,NA,NA,0.8,3.5,0.214,0.9,1.1,0.778,NA,0.4,1.1,2.4
