Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Charles Shackleford,,2.7,1.5,0.9,0.8,0.8,0.7
Ike Diogu,87.2,2.6,1.5,1,0.7,0.7,0
Jeremy Evans,87.2,2.8,1.6,1.3,0.9,0.9,0.6
Mark Madsen,85.4,2.7,1.9,1.1,1.1,0.8,0.6
Tom Hammonds,83.9,2.6,2.2,0.8,0.8,0.6,0.5
Rory White,80.5,2.6,1.5,1,1,0.4,NA
Pete Chilcutt,77.5,2.1,1.5,1.4,1.1,1,0.7
George Lee,77.5,2.6,1.7,1.2,0.6,0.4,0.1
Quincy Acy,76.8,2.5,1.7,1.5,1.1,1,0.9
Marty Conlon,73.8,3.1,1.8,1.4,1,0.6,0.3
Jeff Ayres,73.5,2.4,1.3,1.2,1,0.3,0.2
