Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Charles Shackleford,,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA,NA
Ike Diogu,87.2,2.6,1.5,1,0.7,0.7,0,NA,NA,NA,NA
Jeremy Evans,87.1,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA
Chris Crawford,86.2,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA,NA
Rory White,80.5,2.6,1.5,1,1,0.4,NA,NA,NA,NA,NA
Mark Madsen,77.3,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,NA
Quincy Acy,76.2,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA
George Lee,76.2,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Marty Conlon,75.6,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1,NA
Charles Davis,75.6,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA,NA
Lou Amundson,75.4,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
