Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Malik Sealy,,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2
Aaron Brooks,91.5,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8
Scott Burrell,89.2,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1
Evan Fournier,86.8,5.7,3.3,3.2,2.8,2.1,1.4,1,NA
Brian Shaw,85.8,5.9,3.2,2.2,1.8,1.3,1.1,1,0.6
Mitchell Wiggins,85.8,5.4,3.5,3.3,2,1.2,-0.1,NA,NA
Ron Brewer,85.4,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Lucious Harris,83.9,4.1,3.1,2.8,2.1,1.1,0.8,0.6,0.4
Chico Vaughn,83.2,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
Fred Carter,83.0,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3
Fred Hoiberg,82.8,5.9,2.7,2.3,2.1,1.8,1.3,0.2,0
