,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,22,SEA,NBA,,10,,7,8,,,,,,,,24
1970-71,23,SEA,NBA,,14,,8,12,,,,,,,,36
1971-72,24,SEA,NBA,,16,,8,10,,,,,,,,38
1972-73,25,SEA,NBA,,10,,6,9,,,,,,,,26
1973-74,26,BUF,NBA,,4,,4,6,,,,,,,,9
1974-75,27,BUF,NBA,,7,,4,6,,,,,,,,16
1975-76,28,KCK,NBA,,6,,3,4,,,5,4,,,,14
Career,,,,,16,,8,12,,,,,,,,38
4 Seasons,,SEA,NBA,,16,,8,12,,,,,,,,38
2 Seasons,,BUF,NBA,,7,,4,6,,,,,,,,16
1 Season,,KCK,NBA,,6,,3,4,,,5,4,,,,14
