Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lee Winfield,,4.5,2.8,2.4,1.6,0.5,0.4,-0.1
Kevin Edwards,91.3,5.1,2.5,2.4,1.6,0.6,0.3,-0.2
Armond Hill,86.9,4.2,2.6,2.5,1,0.8,0.5,-0.4
Brandon Knight,86.3,4.5,2.8,1.7,1.3,1.1,0.3,0
E'Twaun Moore,86.3,4.4,2.7,1.8,1.7,0.8,0.2,0.2
Sonny Hertzberg,85.8,4,2.5,2.3,1.4,0.7,NA,NA
John Bagley,85.5,4.6,3,2.6,2.6,0.9,0.4,-0.2
Kent Bazemore,84.6,4.1,2.2,2.1,1.6,0.7,0.2,0.1
Lucious Harris,84.1,4.1,2.8,2.1,1.1,0.8,0.6,0.4
Billy Kenville,83.9,4.5,3.9,3,1.4,0.5,0.4,NA
Winston Garland,83.6,4.5,2.9,2.4,1.8,1.7,1.2,-0.3
