Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,22,SEA,NBA,PG,64,NA,771,138,288,0.479,87,116,0.75,NA,NA,98,102,NA,NA,95,363
1970-71,23,SEA,NBA,PG,79,NA,1605,334,716,0.466,162,244,0.664,NA,NA,193,225,NA,NA,135,830
1971-72,24,SEA,NBA,PG,81,NA,2040,343,692,0.496,175,262,0.668,NA,NA,218,290,NA,NA,198,861
1972-73,25,SEA,NBA,PG,53,NA,1061,143,332,0.431,62,108,0.574,NA,NA,126,186,NA,NA,92,348
1973-74,26,BUF,NBA,PG,36,NA,433,37,105,0.352,33,52,0.635,19,24,43,47,15,5,42,107
1974-75,27,BUF,NBA,PG,68,NA,1259,164,312,0.526,49,68,0.721,45,81,126,134,43,30,106,377
1975-76,28,KCK,NBA,PG,22,NA,214,32,66,0.485,9,14,0.643,8,16,24,19,10,6,14,73
Career,NA,,NBA,,403,NA,7383,1191,2511,0.474,577,864,0.668,72,121,828,1003,68,41,682,2959
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SEA,NBA,,277,NA,5477,958,2028,0.472,486,730,0.666,NA,NA,635,803,NA,NA,520,2402
2 seasons,NA,BUF,NBA,,104,NA,1692,201,417,0.482,82,120,0.683,64,105,169,181,58,35,148,484
1 season,NA,KCK,NBA,,22,NA,214,32,66,0.485,9,14,0.643,8,16,24,19,10,6,14,73
