Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lee Winfield,,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Kevin Edwards,87.0,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2,NA
Jaren Jackson,86.9,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Brandon Knight,86.3,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA
Armond Hill,86.1,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA,NA,NA
Sonny Hertzberg,85.8,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Kent Bazemore,84.6,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
Billy Kenville,83.9,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA,NA,NA
Winston Garland,83.6,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA,NA,NA,NA
Slick Watts,83.4,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA,NA,NA
Elfrid Payton,82.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA,NA,NA
