Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Hawes,,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1
Ervin Johnson,89.5,6.4,5.2,5.1,4.9,3.9,3,2.3,1.9,1.3,0.7
Roy Hibbert,89.3,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA
Rick Mahorn,88.3,6.2,5.9,5.9,5.3,4.8,4.6,3.6,2.5,1.8,1.3
Olden Polynice,88.2,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,1.6,1.5
Wayne Embry,87.9,6.7,6.3,5.6,4.5,3.4,2,1.9,1.5,1.2,1.1
Jim Fox,87.2,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6
Joe Barry Carroll,85.3,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0
LaSalle Thompson,84.9,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2
Channing Frye,84.8,6.4,5.3,4.7,3.7,3.5,3.2,3,2.1,0.9,0.8
Kent Benson,84.7,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1
