Season,Team,Lg,Salary
1990-91,Utah Jazz,NBA,"$225,000"
1991-92,Utah Jazz,NBA,"$275,000"
1992-93,Dallas Mavericks,NBA,"$140,000"
Career,(may be incomplete),,"$640,000"
