,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,CHA,NBA,SG,43,355,,74%,26%,,,-0.6,-2.4,10,2,11,2,17,7,28,3,8
2010-11,23,CHA,NBA,SG,68,1661,,98%,2%,,,-3.2,+2.2,36,16,58,10,65,16,223,10,34
2011-12,24,CHA,NBA,SG,55,1831,,88%,12%,,,-14.6,+2.5,48,26,63,12,93,19,284,20,32
2012-13,25,CHA,NBA,SG,68,2133,1%,52%,46%,1%,,-10.2,-0.4,56,28,61,18,139,22,409,24,48
2013-14,26,CHA,NBA,SG,77,2461,,88%,12%,,,-1.4,-3.1,42,31,54,22,122,27,446,17,38
2014-15,27,CHO,NBA,SG,80,2315,1%,81%,19%,,,-0.7,+6.5,48,32,42,15,90,19,451,19,34
2015-16,28,POR,NBA,SG,72,1431,,80%,20%,,,+1.1,+0.5,23,24,33,10,63,14,181,8,18
2016-17,29,PHI,NBA,SG,72,1667,7%,93%,1%,,,-9.5,-6.0,29,21,41,11,55,10,282,14,25
Career,,,NBA,,535,13854,1%,82%,17%,,,-5.3,+0.3,292,180,363,100,644,134,2304,115,237
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,"CHA,CHO",NBA,,391,10756,,80%,19%,,,-5.5,+1.3,240,135,289,79,526,110,1841,93,194
1 season,,PHI,NBA,,72,1667,7%,93%,1%,,,-9.5,-6.0,29,21,41,11,55,10,282,14,25
1 season,,POR,NBA,,72,1431,,80%,20%,,,+1.1,+0.5,23,24,33,10,63,14,181,8,18
