Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Gerald Henderson,,3.6,3.6,3.3,2.4,2,2,1,0.4
Darrell Griffith,91.5,3.9,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Mickaël Piétrus,91.1,3.6,3.6,3,2.8,2.1,1.5,1.3,0.6
Rod Thorn,90.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1
Kelvin Ransey,87.7,3.8,3.7,3.4,2.8,2.2,2,NA,NA
Marcus Thornton,87.4,4,3.8,3.5,3.2,2,1.7,1.2,0.5
Dell Curry,87.0,5,3.4,3.2,2.7,2,1.8,0.9,0.5
Greg Buckner,86.6,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3
Fatty Taylor,86.1,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4
Steve Colter,85.5,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3
Anthony Peeler,85.1,4.1,3.7,2.7,2.5,2.4,1.1,0.8,0.6
