Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Mike Mitchell,,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4
Danilo Gallinari,92.3,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1
Brian Grant,91.3,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1
Antonio Davis,91.1,7.4,7.2,6.5,6.1,6,5.2,5,4,2.2,2
Grant Long,91.1,8.4,7.7,6.6,6.5,5.1,5,4.6,2.7,2.6,1.6
Troy Murphy,91.0,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.4,1.3,0.3
Bill Bridges,90.4,8.6,7.6,6.7,6.6,6.5,3.9,3.9,3.1,2.6,0.6
Greg Ballard,89.9,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7
Jack Coleman,89.5,6.7,6.5,6.4,6.2,5.8,5,4.3,4.1,2.6,NA
Udonis Haslem,89.5,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,0.9
Mickey Johnson,89.4,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,0.7
