Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Nat Clifton,,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4
Vitaly Potapenko,87.9,3.4,3.1,2.5,2.2,1.5,1.1,0.5,0.2
Luc Longley,87.1,3.5,3.4,3.1,2.2,1.8,1.8,0.2,0.2
Jim Barnes,86.5,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA
Len Elmore,86.4,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0
Leon Douglas,84.5,3.6,3.2,3.1,2.1,2.1,1,0,NA
Mike Brown,82.1,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7
Joel Anthony,81.8,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.2
Meyers Leonard,81.4,3,2.8,2.4,2.2,1.4,1.1,0.6,NA
Duane Causwell,79.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5
Will Perdue,77.8,4.7,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
