,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,28,NYK,NBA,,9,,6,13,,,,20
1951-52,29,NYK,NBA,,9,,9,11,,,6,23
1952-53,30,NYK,NBA,,10,,8,,,,,23
1953-54,31,NYK,NBA,,9,,8,12,,,,22
1954-55,32,NYK,NBA,,13,,12,12,,,6,29
1955-56,33,NYK,NBA,,10,,7,11,,,6,23
1956-57,34,NYK,NBA,,13,,7,10,,,6,30
1957-58,35,DET,NBA,,13,,5,7,,,,27
Career,,,,,13,,12,,,,,30
7 Seasons,,NYK,NBA,,13,,12,,,,,30
1 Season,,DET,NBA,,13,,5,7,,,,27
