Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Junior Bridgeman,,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Kenyon Martin,95.1,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0.9,0
Thurl Bailey,93.2,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9
Caron Butler,92.2,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.8,1.2
John Salley,91.9,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA
Cliff Levingston,91.7,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA
Ersan İlyasova,90.7,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA
Juwan Howard,90.3,7,6,5.6,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Jeff Foster,90.0,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4
Wayman Tisdale,90.0,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7,-0.6
Bruce Bowen,89.3,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,1.9,1.2,0,0
