Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kenny Battle,,1.9,1.3,0.3,0.1,NA
Rudy Macklin,86.3,1.8,1.4,0.1,NA,NA
Hank Whitney,83.9,1.8,1.1,0.5,NA,NA
Jim Bradley,83.6,2.3,1.3,0.1,NA,NA
Joel Freeland,83.2,1.6,1.4,0.2,NA,NA
Jon Brockman,82.1,1.9,1.7,0.1,NA,NA
Mickaël Gelabale,81.6,1.5,1.3,0.2,NA,NA
Joe Holup,81.1,2.1,1.8,0.3,NA,NA
Tom Workman,80.0,1.4,1.3,0.4,0.1,NA
Tellis Frank,78.8,2,1.1,0.6,0.3,0.1
Bernard Thompson,78.5,2.1,0.9,0.2,0.1,0
