Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny Battle,,1.9,1.3,0.3,0.1
Wesley Johnson,87.8,1.9,1.3,0.6,0
Rudy Macklin,86.3,1.8,1.4,0.1,NA
Brian Skinner,85.7,1.9,0.9,0.3,0.1
Tony Brown,85.5,1.8,1.3,0.5,0.2
Hank Whitney,83.9,1.8,1.1,0.5,NA
Jim Bradley,83.6,2.3,1.3,0.1,NA
Joel Freeland,83.2,1.6,1.4,0.2,NA
Jon Brockman,82.1,1.9,1.7,0.1,NA
Mickaël Gelabale,81.6,1.5,1.3,0.2,NA
Samaki Walker,81.5,2,1.4,0.6,0.5
