Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,29,HOU,NBA,PF,1,0,4:00,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2
Career,NA,,NBA,,1,0,4,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2
