Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Tony Delk,,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4
Doug West,89.6,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.4,0.1,-0.1
Eddie House,87.0,4.9,3.9,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4
Marquis Daniels,84.1,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1
Howard Eisley,83.4,4.5,4.4,3,2.9,1.7,1.3,1.2,1,-0.3,-0.5
Shaun Livingston,82.7,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Tom Henderson,82.3,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA
Bob Warren,82.0,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA,NA
Fred Jones,81.7,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA
Wali Jones,81.2,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3
Jamaal Tinsley,80.7,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3
