Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,26,ATL,NBA,SF,1,0,17:00,6,15,0.4,0,0,NA,1,2,0.5,2,3,2,0,1,1,2,13
1986-87,27,ATL,NBA,SF,1,1,24:00,3,9,0.333,0,0,NA,4,7,0.571,3,5,1,0,1,2,2,10
1987-88,28,ATL,NBA,SF,1,1,30:00,12,22,0.545,0,0,NA,5,6,0.833,1,5,0,0,1,0,3,29
1988-89,29,ATL,NBA,SF,1,1,15:00,3,8,0.375,0,0,NA,3,3,1,1,2,0,3,0,2,0,9
1989-90,30,ATL,NBA,SF,1,0,16:00,5,10,0.5,1,1,1,2,2,1,0,0,4,1,0,0,1,13
1990-91,31,ATL,NBA,SF,1,0,22:00,3,11,0.273,0,2,0,6,8,0.75,3,3,4,1,1,2,2,12
1991-92,32,ATL,NBA,SF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-93,33,ATL,NBA,SF,1,0,18:00,2,11,0.182,1,3,0.333,4,4,1,4,7,0,1,0,1,2,9
1993-94,34,ATL,NBA,SF,1,0,17:00,4,9,0.444,0,2,0,3,6,0.5,2,2,4,0,0,0,1,11
Career,NA,,NBA,,8,3,159,38,95,0.4,2,8,0.25,28,38,0.737,16,27,15,6,4,8,13,106
