Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Larry Jones,,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,NA,NA,NA,NA,NA,NA
David Thompson,84.7,12.7,12.4,10.7,9.5,6.4,5.4,3,2,1,NA,NA,NA,NA,NA
Damian Lillard,80.4,12.6,12.1,10.6,10.4,9.6,9.2,5.8,NA,NA,NA,NA,NA,NA,NA
Paul Westphal,78.6,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3,NA,NA
Steve Francis,78.4,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA,NA,NA
Mack Calvin,77.5,10.4,9,8.8,8.5,8.5,7.7,2.8,1.8,1.5,1.4,0,NA,NA,NA
Anfernee Hardaway,77.5,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4,0.2,0.2,-0.2
Kyrie Irving,77.1,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA,NA
Bobby Wanzer,77.0,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA,NA
Donnie Freeman,76.6,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA,NA,NA
Mark Price,76.3,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.7,1.1,0,NA,NA
