,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,PHI,NBA,,2,4,,,,,3,6,,,3,2,,,,3,6
1967-68,25,DNR,ABA,,12,,0,,,,5,8,,,,,,,,,29
1968-69,26,DNR,ABA,,12,,1,,,,15,17,,,,,,,,,33
1969-70,27,DNR,ABA,,13,,2,,,,14,14,,,,,,,,,37
1970-71,28,FLO,ABA,,9,,1,,,,9,9,,,,,,,,,25
1971-72,29,FLO,ABA,,4,,0,,,,5,7,,,,,,,,,13
Career,,,TOT,,13,,,,,,15,17,,,,,,,,,37
,,,NBA,,2,4,,,,,3,6,,,3,2,,,,3,6
,,,ABA,,13,,2,,,,15,17,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,DNR,ABA,,13,,2,,,,15,17,,,,,,,,,37
2 Seasons,,FLO,ABA,,9,,1,,,,9,9,,,,,,,,,25
1 Season,,PHI,NBA,,2,4,,,,,3,6,,,3,2,,,,3,6
