Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Larry Jones,,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3
Mookie Blaylock,89.9,12.5,10.2,9.4,9,7,4.9,2.1,-0.3
Paul Westphal,86.7,10.5,10.4,9.8,9.6,9.6,5.1,3.2,1.4
Deron Williams,85.9,11.3,10.9,10.3,8.4,7.3,7.2,4.1,2.8
David Thompson,85.8,12.7,12.4,10.7,9.5,6.4,5.4,3,2
Chauncey Billups,85.2,12.1,11.3,9.9,7.6,3.7,3,2.3,0.1
Mark Price,84.4,11.3,10.1,10,9.8,9.1,7.8,2,1.1
Sam Jones,84.2,12.8,9.6,9.6,8.9,8.1,5.9,5.3,2.1
Russell Westbrook,84.1,14,11.6,10.6,9.4,7.9,6.1,5.2,1.9
Bill Sharman,83.5,10.4,10.4,9.8,8.8,8.7,7.7,4.3,1.8
Gus Williams,83.0,11.6,10.2,8.5,8.3,7.7,5.9,4.2,3.6
