Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Art Spector,,1.4,1,0.6,-0.2
Lonny Baxter,92.1,1.5,0.9,0.7,-0.2
Calvin Garrett,81.0,1.4,0.6,0.6,0
Chris Johnson,79.4,1.4,1.1,0.8,0.2
Fred Saunders,76.8,1.3,1.2,0.5,0.1
Keith Lee,75.0,1.9,1.1,0.8,NA
Joe Kopicki,74.3,1.9,0.9,0.7,NA
Bo Ellis,73.7,1.1,0.9,0.5,NA
Hank Whitney,73.4,1.8,1.1,0.5,NA
Skal Labissière,72.8,1.4,1.3,0.3,NA
Tom Workman,72.7,1.4,1.3,0.4,0.1
