Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Art Spector,,1.4,1,0.6,-0.2
Lonny Baxter,92.1,1.5,0.9,0.7,-0.2
Gary Gregor,84.7,1.4,1.1,0.5,-0.4
Hilton Armstrong,82.4,1.5,1.2,0.5,-0.1
Reggie Slater,82.3,1.5,0.8,0.4,-0.1
Joe Ellis,81.2,1.3,1,0.4,-0.3
Calvin Garrett,81.0,1.4,0.6,0.6,0
Jeff Turner,80.8,1.2,0.8,0.6,-0.2
Chris Johnson,79.4,1.4,1.1,0.8,0.2
Charles Davis,79.0,1.5,1,0.9,0.3
Fred Saunders,76.8,1.3,1.2,0.5,0.1
