Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Gene Shue,,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1
Eric Bledsoe,90.1,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA
Steve Kerr,88.2,8.3,7.5,6.1,5.9,3.8,3.2,2.4,1.3,0.6,0.4
Steve Jones,87.7,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA
Jerry Stackhouse,86.0,9.2,7.3,6.5,5.8,4.7,3.5,2.1,1.9,1.2,0.2
Rickey Green,85.3,7.9,6.7,6.6,5.7,5.6,5.2,1.8,1.8,0.3,-0.1
Jay Humphries,85.3,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8
Michael Adams,85.1,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
Darrell Armstrong,85.0,8.7,8,7.6,6.4,5.3,4.9,2.5,1.8,0.1,0.1
Brad Davis,84.8,7.4,7.3,6.2,6.2,5.4,4.2,3.9,0.6,0.6,0.3
Avery Johnson,84.5,9.1,8,6.7,5.2,4.1,3.4,1.6,1.3,0.5,0.3
