,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,23,TOT,NBA,,5,,3,,,,3,13
1954-55,23,NYK,NBA,,5,,3,,,,3,13
1955-56,24,NYK,NBA,,1,4,1,1,4,1,1,3
1956-57,25,FTW,NBA,,8,,8,9,,,3,22
1957-58,26,DET,NBA,,11,,9,9,,,4,29
1958-59,27,DET,NBA,,11,24,10,13,,,4,32
1959-60,28,DET,NBA,,9,,15,17,,,3,27
1960-61,29,DET,NBA,,11,,11,13,,,5,29
1961-62,30,DET,NBA,,10,,7,9,,,,27
Career,,,,,11,,15,,,,,32
6 Seasons,,"DET,FTW",NBA,,11,,15,17,,,,32
2 Seasons,,NYK,NBA,,5,,3,,,,3,13
