,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,23,TOT,NBA,,6,,4,6,,,3,15
1954-55,23,PHW,NBA,,2,,2,3,,,1,4
1954-55,23,NYK,NBA,,6,,4,6,,,3,15
1955-56,24,NYK,NBA,,9,,10,12,,,5,25
1956-57,25,FTW,NBA,,10,,11,12,,,5,28
1957-58,26,DET,NBA,,11,,14,15,,,,30
1958-59,27,DET,NBA,,14,,17,21,,,,45
1959-60,28,DET,NBA,,16,,13,14,,,,43
1960-61,29,DET,NBA,,16,,14,,,,,41
1961-62,30,DET,NBA,,14,,16,,,,,32
1962-63,31,NYK,NBA,,13,,8,,,,,27
1963-64,32,BAL,NBA,,8,,5,6,,,,20
Career,,,,,16,,17,,,,,45
6 Seasons,,"DET,FTW",NBA,,16,,17,,,,,45
3 Seasons,,NYK,NBA,,13,,10,,,,,27
1 Season,,BAL,NBA,,8,,5,6,,,,20
1 Season,,PHW,NBA,,2,,2,3,,,1,4
