Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Gene Shue,,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,NA
Eric Bledsoe,90.1,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA
Steve Jones,87.7,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA
Jay Humphries,84.7,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8,-0.4
Brian Taylor,84.3,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA
Charlie Scott,84.2,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,NA
Kyle Macy,84.1,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA,NA
Michael Adams,83.8,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
John Wall,83.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
Phil Smith,83.5,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA
Micheal Ray Richardson,83.4,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
