Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Marty Byrnes,,2.3,1,0.9,0
Grady Lewis,92.1,2.4,1.1,0.8,NA
Derrick Brown,91.6,2.3,1.3,1,NA
Travis Outlaw,90.4,2.3,1.4,0.9,0
Jim Loscutoff,90.3,2.1,0.9,0.9,0
Walter Herrmann,89.3,2.4,1,0.7,NA
Scott Hastings,87.8,2.1,1.3,0.8,0.1
Cliff Pondexter,86.5,2.2,1.5,1,NA
Jeff Ayres,84.8,2.4,1.3,1,0.3
Keith Lee,84.1,1.9,1.1,0.8,NA
Al Harrington,82.7,2.6,1.2,1,-0.2
