Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bill Gabor,,3.5,2.9,2.8,1.5,0.5,0
Marco Belinelli,94.2,3.4,3,2.9,1.2,0.5,0
Mike Dunleavy,90.8,3.4,3,2.6,1.4,0.2,0.1
Mike McGee,90.0,3.2,3,2.8,1.9,0.2,0.2
Adrian Griffin,88.7,3.9,3.5,2.9,1.3,0.4,0.1
Geoff Huston,88.4,3.4,3,2.6,1.7,0,-0.3
Pablo Prigioni,87.2,3.4,3.2,2.3,1.5,NA,NA
Joe Hamilton,86.3,4.1,2.9,2.9,2.2,0.2,0.2
Lee Winfield,84.9,4.5,2.8,2.4,1.6,0.5,-0.1
Ricky Davis,84.1,4.4,3,2.8,1.1,0.2,0.2
Kevin Loughery,84.0,3.6,3,2.6,2.5,0.1,-0.3
