Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bill Gabor,,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA,NA,NA,NA
Pablo Prigioni,87.2,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Joe Hamilton,86.3,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
Jaren Jackson,84.5,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Greivis Vásquez,83.6,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA,NA,NA,NA
Ken Charles,83.4,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA
Sonny Hertzberg,83.3,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
T.J. McConnell,83.0,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Lee Winfield,82.4,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Skeeter Swift,82.1,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA,NA,NA,NA
Larry Wright,81.4,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA,NA,NA,NA
