Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brian Grant,,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1.6,1,0.2
Steve Mix,93.2,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,1.3,0.4,-0.3
Grant Long,92.6,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,1.6,1.4
Antonio McDyess,92.2,9.4,7.8,6.7,6.2,6,5.7,4.6,4.2,3.6,1.8,1.2,0.8
Tyrone Hill,89.8,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,0.6
Derrick Coleman,89.2,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.4,3.3,2,1.2,-0.2
Mike Mitchell,89.2,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4,NA,NA
Scott Wedman,89.2,8.6,7.8,7.1,6,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2
Metta World Peace,89.1,8,7.2,6.7,5.5,5.3,4.7,4.4,3.7,2.7,2.3,1.9,1.3
Josh Smith,88.9,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0
Udonis Haslem,88.7,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9
