Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
George Nostrand,,2,2,1.3,0.4,NA
Luther Rackley,85.6,1.9,1.8,1.3,0.8,0.1
Bob Christian,83.0,2.4,1.9,0.9,0.5,0
Joffrey Lauvergne,80.1,2.3,1.5,1.3,0.1,NA
Charlie Tyra,78.9,2.3,1.5,1.1,0.2,-0.2
Hasheem Thabeet,77.5,2.2,2,0.3,0.3,0
Jeff Withey,77.0,2.3,1.8,1.8,0.8,0
Predrag Drobnjak,76.8,2.4,1.6,1,0.7,NA
Jahlil Okafor,76.7,2.2,1.2,1.2,0.6,NA
Henry Sims,74.6,2.1,2.1,0.4,0,NA
Greg Stiemsma,74.5,2.7,1.7,1.5,0.1,NA
