Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
George Nostrand,,2,2,1.3,0.4
Luther Rackley,87.2,1.9,1.8,1.3,0.8
Marc Jackson,85.7,2.6,2,1.3,0.6
Vitaly Potapenko,82.4,2.5,2.2,1.5,0.5
Jeff Wilkins,80.6,2.4,2.3,1,0.5
Joffrey Lauvergne,80.1,2.3,1.5,1.3,0.1
Zaid Abdul-Aziz,79.4,2,1.9,1.8,-0.3
Spencer Hawes,79.0,2.4,2.1,0.8,0.6
Hasheem Thabeet,78.1,2.2,2,0.3,0.3
Jeff Withey,77.7,2.3,1.8,1.8,0.8
Tom LaGarde,77.5,2.7,2.2,1.7,0.4
