,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2011-12,25,MEM,NBA,PG,44,424,89%,11%,,,,-14.1,-19.0,23,15,21,3,12,2,117,1,17
2012-13,26,TOT,NBA,PG-SG,39,655,49%,50%,1%,,,-8.9,-4.9,23,16,21,6,28,1,218,7,28
2012-13,26,CLE,NBA,PG,25,447,59%,41%,,,,-6.2,-1.0,17,11,13,5,17,1,151,4,18
2012-13,26,PHI,NBA,SG,14,208,27%,71%,2%,,,-15.0,-12.0,6,5,8,1,11,0,67,3,10
2019-20,33,GSW,NBA,PG,3,44,100%,,,,,0.0,+8.9,3,0,4,1,1,0,19,1,0
Career,,,NBA,,86,1123,66%,33%,,,,-10.5,-9.7,49,31,46,10,41,3,354,9,45
,,,,,,,,,,,,,,,,,,,,,,
1 season,,MEM,NBA,,44,424,89%,11%,,,,-14.1,-19.0,23,15,21,3,12,2,117,1,17
1 season,,CLE,NBA,,25,447,59%,41%,,,,-6.2,-1.0,17,11,13,5,17,1,151,4,18
1 season,,PHI,NBA,,14,208,27%,71%,2%,,,-15.0,-12.0,6,5,8,1,11,0,67,3,10
1 season,,GSW,NBA,,3,44,100%,,,,,0.0,+8.9,3,0,4,1,1,0,19,1,0
