Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Lucas III,,2.2,1.1,0.6,0.3,0,0,-0.1,-0.7
A.J. Price,74.7,2.2,1.2,0.7,0.3,0.3,0,NA,NA
Courtney Alexander,71.9,2.2,1.1,0.8,NA,NA,NA,NA,NA
Ian Clark,69.6,2.3,1.1,0.9,0.2,-0.1,-0.1,NA,NA
Mike Davis,69.6,2.2,1.2,0.9,0.6,NA,NA,NA,NA
Kevin O'Shea,68.8,2.1,1.2,0.5,NA,NA,NA,NA,NA
Mo Layton,68.2,1.9,1.1,1,0.3,0.1,NA,NA,NA
Chink Crossin,67.7,2.1,1.2,0.5,NA,NA,NA,NA,NA
Mike Holton,63.9,2.3,1.3,0.8,0.3,0.2,-0.2,NA,NA
Jannero Pargo,63.6,2,1.3,1.1,0.2,0.1,0.1,-0.1,-0.3
Glenn Robinson,63.5,2.5,0.8,0.7,0.6,0.1,NA,NA,NA
